question_id,user_input,response,reference,retrieved_contexts,reference_contexts,retrieved_contexts_count,reference_contexts_count,retrieved_context_ids,reference_context_ids,errors,context_precision,context_recall,response_relevancy,faithfulness,answer_accuracy,context_relevance,response_groundedness,semantic_similarity,bleu_score,rouge1,rougeL
Q_001,What does the policy mean by an accident?,"The policy defines ""accidental bodily injury"" as physical harm caused by an unexpected, sudden, and unintended event that happens from an outside force, like a fall, collision, or cut. This harm must be visible and not caused by an illness or disease. It also needs to be confirmed by a doctor.","An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner."", ""An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.""]","[""An Accident means sudden, unforeseen and involuntary event caused by external, visible and violent means.""]",2,1,"[""BAJHLIP23020V012223.pdf_25"", ""BAJHLIP23020V012223.pdf_2""]","[""BAJHLIP23020V012223.pdf_2""]",,0.49999999995,1.0,0.7492196582413904,0.8571428571428571,0.5,1.0,1.0,0.6414482073143407,0.03335559266682753,0.2424242424242424,0.1818181818181818
Q_002,What is considered “any one illness” under this policy?,"Under this policy, ""any one illness"" refers to a single continuous period of sickness, including any relapse (when symptoms return) that happens within 45 days after the last time you were treated at a hospital or nursing home. This means that if you get worse again or have the same illness back within that 45-day window, it will still count as part of the same illness for calculating your benefits.

The policy sets a maximum limit (called the sum insured) for inpatient hospitalization, which applies to all treatments related to that single illness. This limit is the total amount the insurance will pay for all inpatient hospital stays and outpatient treatments linked to that same illness, as defined by the 45-day rule.",Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken.,"[""Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken."", ""In-patient Hospitalization Up to Sum Insured""]","[""Any one Illness means continuous Period of Illness and it includes relapse within 45 days from the date of last consultation with the Hospital/Nursing Home where treatment was taken.""]",2,1,"[""BAJHLIP23020V012223.pdf_3"", ""BAJHLIP23020V012223.pdf_130""]","[""BAJHLIP23020V012223.pdf_3""]",,0.9999999999,1.0,0.9162452787103653,0.75,0.75,1.0,1.0,0.7140256366551412,0.04076824887784678,0.2987012987012987,0.22077922077922077
Q_003,What is a cashless facility in this insurance policy?,"The cashless hospitalization facility in this policy lets you get treated at a **network hospital** without paying upfront, as long as you follow specific steps. First, you must get **pre-authorization** (approval from the insurer) before admission. For planned hospitalizations, you or your representative must inform the insurer 48 hours in advance and request approval. The insurer will review your request and, if satisfied, send an authorization letter. You or your representative must then show this letter, along with your policy ID card, to the network hospital at the time of admission. The hospital will bill the insurer directly for covered expenses, and you won’t have to pay anything out of pocket for those costs.

If it’s an emergency, you must inform the insurer in writing within 24 hours of hospitalization. The insurer will still review the claim later, but you must still follow up to ensure coverage. Pre-authorization doesn’t guarantee full coverage—some costs may not be covered depending on policy terms. If you don’t get pre-authorization or go to a non-network hospital, you’ll have to pay upfront and submit a reimbursement claim later.

For international coverage, planned treatments require pre-approval at least 72 hours before admission. Without pre-approval, the insurer may decline unnecessary treatments or only cover up to 80% of reasonable expenses.",Cashless Facility means a facility extended by the Insurer to the Insured where the payments of the costs of treatment undergone by the Insured are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved.,"[""Cashless Facility means a facility extended by the Insurer to the Insured where the payments, of the costs of treatment undergone by the Insured in accordance with the Policy terms and conditions, are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved."", ""A. Cashless Claims Procedure: Cashless treatment is only available at Network Hospitals. In order to avail of cashless treatment, the following"", ""If the procedure above is followed, You will not be required to directly pay for the bill amount in the Network Hospital that We are liable under Section AI-Inpatient Hospitalization Treatment above and the original bills and evidence of treatment in respect of the same shall be left with the Network Hospital. Pre-authorisation does not guarantee that all costs and expenses will be covered. We reserve the right to review each claim for Medical Expenses and accordingly coverage will be determined according to the terms and conditions of this Policy. iv. In case any treatment or procedure is to be taken on an Emergency basis, You or Your representative must intimate Us in writing immediately within 24 hours of Hospitalization. B. Reimbursement Claims Procedure: If Pre-authorisation as per Cashless Claims Procedure above is denied by Us or if treatment is taken in a Hospital other than a Network Hospital or if You do not wish to avail Cashless Facility, then: i. You or someone claiming on Your behalf must inform Us in writing immediately within 48 hours of Hospitalization in case of Emergency Hospitalization and 48 hours prior to Hospitalization in case of planned Hospitalization ii."", ""i. For planned treatment or Hospitalization, prior to taking treatment and/or incurring Medical Expenses at a Network Hospital, You or Your representative must intimate Us 48 hours before the planned Hospitalization and request pre-authorisation by way of the written form. ii. After considering Your request and after obtaining any further information or documentation We have sought, We may, if satisfied, send You or the Network Hospital, an authorisation letter. The authorisation letter, the ID card issued to You along with this Policy and any other information or documentation that We have specified must be produced to the Network Hospital identified in the pre-authorization letter at the time of Your admission to the same. iii. If the procedure above is followed, You will not be required to directly pay for the bill amount in the Network Hospital that We are liable under Section AI-Inpatient Hospitalization Treatment above and the original bills and evidence of treatment in respect of the same shall be left with the Network Hospital. Pre-authorisation does not guarantee that all costs and expenses will be covered."", ""Follow the steps below so We can look after the details \u2013 while You concentrate on getting better. Check Your level of cover First, check that Your plan covers the treatment You are seeking. Your Table of Benefits will confirm what is covered. However, You can always call Our Helpline if You have any queries. 24/7 International Helpline number +353 1 630 1301 Some treatments require Our pre-approval Certain benefits under this policy for International Cover would require You to seek pre-approval at least 72 hours prior to admission or availing the benefit in case of planned treatments. The pre-approval process helps Us assess each case, organize everything with the Hospital before Your arrival and make direct payment of Your Hospital bill easier, where possible. If You make a claim without obtaining Our pre-approval the following will apply: i. If the treatment received is subsequently proven to be medically unnecessary, We reserve the right to decline Your claim in accordance with the policy terms and conditions ii. If the treatment is subsequently proven to be medically necessary, we will process the claim basis on reasonable and customary expenses up to 80% of the coverage, subject to the policy terms and conditions.""]","[""Cashless Facility means a facility extended by the Insurer to the Insured where the payments, of the costs of treatment undergone by the Insured in accordance with the Policy terms and conditions, are directly made to the Network Provider by the Insurer to the extent pre-authorization is approved.""]",5,1,"[""BAJHLIP23020V012223.pdf_8"", ""BAJHLIP23020V012223.pdf_367"", ""BAJHLIP23020V012223.pdf_369"", ""BAJHLIP23020V012223.pdf_368"", ""BAJHLIP23020V012223.pdf_381""]","[""BAJHLIP23020V012223.pdf_8""]",,0.999999999975,1.0,0.7658242871796052,0.9230769230769231,0.5,1.0,1.0,0.6277883125462798,0.010232009468512559,0.20300751879699247,0.15789473684210525
Q_004,What does co-payment mean in this health insurance policy?,"In this health insurance policy, a co-payment is a fixed percentage of the eligible medical expenses that you must pay yourself after the insurance company covers its share. For example, if the policy states a 20% co-payment, you pay 20% of the approved claim amount, while the insurance covers the remaining 80%. This percentage does not reduce the total coverage limit (Sum Insured) of your policy. This applies to certain optional or specific benefits like dental claims, where a mandatory 20% co-payment is required for each claim under the Dental Plan Benefits.",A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount and it does not reduce the Sum Insured.,"[""A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount. A Co-Payment does not reduce the Sum Insured."", ""a. You shall bear 20% of Co-Payment for each and every claim payable under Section C Part B III- Dental Plan Benefits (Optional cover) and Our liability, if any, shall only be in excess of that sum. b. If opted, an aggregate Deductible as specified in the Policy Schedule will apply for expenses under Inpatient"", ""III. DENTAL PLAN BENEFITS (Optional) In consideration of payment of additional premium by the Insured to the Company and realization thereof by the Company, it is hereby agreed and declared that Global Health Care Policy is extended to pay the expenses incurred for the below mentioned Dental related covers with a mandatory Co-Payment of 20% on each and every claim, subject to terms, conditions and definitions, exclusions, up to the limit specified in the Policy Schedule.""]","[""A Co-Payment means a cost-sharing requirement under a health insurance Policy that provides that the Policyholder/Insured will bear a specified percentage of the admissible claim amount. A Co-Payment does not reduce the Sum Insured.""]",3,1,"[""BAJHLIP23020V012223.pdf_11"", ""BAJHLIP23020V012223.pdf_347"", ""BAJHLIP23020V012223.pdf_181""]","[""BAJHLIP23020V012223.pdf_11""]",,0.9999999999666667,1.0,0.9152842054723104,0.8571428571428571,0.5,1.0,1.0,0.8124768121987922,0.05294254110326228,0.3939393939393939,0.27272727272727276
Q_005,What is the definition of congenital anomaly in this policy?,"The policy defines a ""congenital anomaly"" as a physical issue that a baby is born with, which is different from what is considered normal in terms of shape, structure, or position. These can be either visible (like certain birthmarks or limb differences) or hidden inside the body (like heart defects or organ malformations). This definition applies specifically to birth defects covered under the newborn section of the policy.","Congenital Anomaly means a condition which is present since birth and is abnormal with reference to form, structure or position. It may be internal (not visible or accessible parts of the body) or external (visible and accessible parts of the body).","[""Congenital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. a. Internal Congenital Anomaly- Congenital Anomaly which is not in the visible and accessible parts of the body b. External Congenital Anomaly- Congenital Anomaly which is in the visible and accessible parts of the body"", ""Pre-Existing Disease means any condition, ailment or Injury or disease a. That is/are diagnosed by a physician within 48 months prior to the effective date of the Policy issued by the insurer or b. For which medical advice or treatment was recommended by, or received from, a physician within 48 months prior to the effective date of the Policy or its reinstatement.""]","[""Congenital Anomaly means a condition which is present since birth, and which is abnormal with reference to form, structure or position. a. Internal Congenital Anomaly- Congenital Anomaly which is not in the visible and accessible parts of the body b. External Congenital Anomaly- Congenital Anomaly which is in the visible and accessible parts of the body""]",2,1,"[""BAJHLIP23020V012223.pdf_10"", ""BAJHLIP23020V012223.pdf_43""]","[""BAJHLIP23020V012223.pdf_10""]",,0.9999999999,0.5,0.9452533464922973,0.5,0.75,1.0,1.0,0.7940245557993257,0.04035682266239978,0.3853211009174312,0.3119266055045872
Q_006,What qualifies as a day care centre according to the policy?,"This policy defines ""day care treatment"" as short medical procedures or surgeries that require a hospital or day care center setting but do not need an overnight stay. These procedures are covered under the policy, but only if they are listed in Annexure I of the policy wording. The key points are that day care treatment is not the same as regular outpatient (OPD) care, where you visit a clinic for diagnosis or treatment without being admitted. Day care treatment is also different from inpatient care, where you stay overnight in the hospital. The policy specifies that day care procedures must be performed in a hospital or a registered day care center with qualified medical staff and proper facilities, such as an operation theater. These services require prior approval from the insurance company before treatment.","A Day Care Centre means an institution established for Day Care Treatment of illness or injuries or a medical set-up with a hospital which is registered with local authorities, under supervision of a qualified Medical Practitioner, has qualified nursing staff, its own fully equipped operation theatre for surgical procedures and maintains daily patient records accessible to the insurer’s authorized personnel.","[""We will pay You the medical expenses as listed under Section C, Part B,I-1 - In-patient Hospitalization Treatment for Day Care Procedures / Surgeries taken as an Inpatient in a Hospital or Day Care Centre but not in the outpatient department. List of Day Care Procedures is as given in the annexure I of Policy wordings. This cover is subject to the Sum Insured, sub-limits, terms, conditions and definitions, exclusions contained or"", ""A Day Care Centre means any institution established for Day Care Treatment of Illness and / or injuries or a medical set -up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner AND must comply with all minimum criterion as under:- i. has qualified nursing staff under its employment ii. has qualified Medical Practitioner (s) in charge iii. has a fully equipped operation theatre of its own where surgical procedures are carried out iv. maintains daily records of patients and will make these accessible to the Insurance Company\u2019s authorized personnel."", ""We will pay You the medical expenses as listed under Section C, Part A I-1- In-patient Hospitalization Treatment for Day care procedures / Surgeries taken as an Inpatient in a Hospital or Day Care Centre but not in the outpatient department. List of Day Care Procedures is as given in the Annexure I of Policy wordings."", ""i. In-patient Hospitalization Treatment (Section C, Part B,I-1) ii. Day Care Procedures (Section C, Part B,I-5) iii. Living Donor Medical Costs (Section C, Part B,I-6) iv. Mental Illness Treatment (Section C, Part B,I-9) v. Accommodation costs for one parent staying in Hospital with an Insured child under 18 years of age (Applicable to Imperial Plus Plan only) (Section C, Part B,I-11) vi. Palliative care (Applicable to Imperial Plus Plan only) (Section C, Part B,I-16)"", ""OPD treatment means the one in which the Insured visits a clinic / Hospital or associated facility like a consultation room for diagnosis and treatment based on the advice of a Medical Practitioner. The Insured is not admitted as a Day Care Treatment or Inpatient.""]","[""A Day Care Centre means any institution established for Day Care Treatment of Illness and / or injuries or a medical set -up with a Hospital and which has been registered with the local authorities, wherever applicable, and is under supervision of a registered and qualified Medical Practitioner AND must comply with all minimum criterion as under:- i. has qualified nursing staff under its employment ii. has qualified Medical Practitioner (s) in charge iii. has a fully equipped operation theatre of its own where surgical procedures are carried out iv. maintains daily records of patients and will make these accessible to the Insurance Company\u2019s authorized personnel.""]",5,1,"[""BAJHLIP23020V012223.pdf_145"", ""BAJHLIP23020V012223.pdf_13"", ""BAJHLIP23020V012223.pdf_118"", ""BAJHLIP23020V012223.pdf_382"", ""BAJHLIP23020V012223.pdf_41""]","[""BAJHLIP23020V012223.pdf_13""]",,0.9999999999666667,1.0,0.745845788365706,0.8333333333333334,0.5,1.0,1.0,0.6894396886892509,0.010934308890549997,0.29441624365482233,0.18274111675126903
Q_007,How does the policy define emergency care?,"The insurance policy defines emergency medical treatment as immediate medical care needed for a sudden, unexpected illness or injury that could cause serious harm or death if not treated right away. This coverage applies only if treatment starts within 24 hours of the emergency happening. The policy also specifies that emergency treatment outside your usual coverage area (like during travel) is covered for up to six weeks per trip, but only if the treatment begins within 24 hours of the emergency. You must inform the insurer in writing within 48 hours of hospitalization for an emergency. The policy requires a doctor’s certification confirming the emergency was life-threatening and that the treatment was accepted under the ""In-patient Hospitalization Treatment"" or ""Day Care Procedures"" sections. You must also follow the doctor’s advice and take steps to minimize costs.",Emergency care means management for an illness or injury with symptoms that occur suddenly and unexpectedly and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the insured person’s health.,"[""Emergency Treatment shall be accordingly taken/interpreted as per definition of Emergency Care read with this definition. Provided however only treatment commencing within 24 hours of the Emergency event will be covered."", ""Emergency care means management for an Illness or Injury which results in symptoms which occur suddenly and unexpectedly, and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the Insured person\u2019s health."", ""Emergency treatment outside area of cover is treatment for medical emergencies which occur during business or holiday trips outside Your area of cover. Cover is provided for up to six weeks per trip within the maximum benefit amount. It includes treatment required due to an Accident or the sudden beginning or worsening of a severe Illness which presents an immediate threat to Your health. Treatment by a Doctor must start within 24 hours of the Emergency event. Cover is not provided for curative or follow-up non-Emergency treatment, even if You are deemed unable to travel to a country within Your geographical area of cover. Nor does it extend to charges relating to maternity, pregnancy, childbirth or any complications of pregnancy or childbirth. You must tell Us if You are going to be outside Your area of cover for more than six weeks."", ""i. Such life threatening Emergency condition is certified by the Medical Practitioner, and ii. We have accepted Your Claim under \""In-patient Hospitalization Treatment\"" or \""Day Care Procedures\"""", ""You or someone claiming on Your behalf must inform Us in writing immediately within 48 hours of Hospitalization in case of Emergency Hospitalization and 48 hours prior to Hospitalization in case of planned Hospitalization ii. You must immediately consult a Medical Practitioner and follow the advice and treatment that he recommends. iii. You must take reasonable steps or measures to minimize the quantum of any claim that may be made under this"", ""12. Emergency treatment outside area of cover (Applicable to Imperial Plus Plan only if \u201cExcluding USA\u201d cover is opted) We will pay the Customary and Reasonable expenses, up to the limit specified in the Policy Schedule, incurred for treatment of medical emergencies which occur during business or holiday trips outside Your area of cover. Cover is provided for up to six weeks per trip within the Sum Insured limit. It includes treatment required due to an Accident or the sudden beginning or worsening of a severe Illness which presents an immediate threat to Your health. Treatment by a Doctor must start within 24 hours of the Emergency event.""]","[""Emergency care means management for an Illness or Injury which results in symptoms which occur suddenly and unexpectedly, and requires immediate care by a Medical Practitioner to prevent death or serious long term impairment of the Insured person\u2019s health.""]",6,1,"[""BAJHLIP23020V012223.pdf_66"", ""BAJHLIP23020V012223.pdf_18"", ""BAJHLIP23020V012223.pdf_69"", ""BAJHLIP23020V012223.pdf_143"", ""BAJHLIP23020V012223.pdf_370"", ""BAJHLIP23020V012223.pdf_160""]","[""BAJHLIP23020V012223.pdf_18""]",,0.555555555537037,1.0,0.8021108776544709,1.0,0.5,1.0,1.0,0.6673361228179673,0.04953477843159771,0.25842696629213485,0.1348314606741573
Q_008,What is hospitalization according to the policy terms?,"Inpatient hospitalization means staying overnight in a hospital for treatment that requires you to remain there for more than 24 hours. This applies when you are admitted for a covered medical condition or procedure. However, some specific treatments or procedures may allow for shorter hospital stays of less than 24 hours, even if they are considered inpatient care. For example, certain surgeries or diagnostic tests might qualify for reimbursement if you are admitted for less than a full day but still receive treatment as an inpatient. Additionally, prior approval from the insurance company is required before undergoing inpatient hospitalization treatment.",Hospitalization means admission in a Hospital for a minimum period of 24 consecutive in-patient care hours except for specified procedures or treatments where admission could be for less than 24 consecutive hours.,"[""Inpatient care means treatment for which the Insured has to stay in a Hospital for more than 24 hours for a covered event."", ""Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours."", ""i. In-patient Hospitalization Treatment (Section C, Part B,I-1) ii. Day Care Procedures (Section C, Part B,I-5) iii. Living Donor Medical Costs (Section C, Part B,I-6) iv. Mental Illness Treatment (Section C, Part B,I-9) v. Accommodation costs for one parent staying in Hospital with an Insured child under 18 years of age (Applicable to Imperial Plus Plan only) (Section C, Part B,I-11) vi. Palliative care (Applicable to Imperial Plus Plan only) (Section C, Part B,I-16)""]","[""Hospitalization means admission in a Hospital for a minimum period of 24 consecutive In-patient Care hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours.""]",3,1,"[""BAJHLIP23020V012223.pdf_26"", ""BAJHLIP23020V012223.pdf_22"", ""BAJHLIP23020V012223.pdf_382""]","[""BAJHLIP23020V012223.pdf_22""]",,0.49999999995,1.0,0.6403394069400035,0.42857142857142855,0.5,1.0,0.75,0.8340196668783655,0.03449612988879278,0.3007518796992481,0.24060150375939848
Q_009,How does the policy define an injury?,"The policy defines a covered injury as an accidental physical harm or trauma to your body. It must be caused by something sudden and unexpected, like a fall, car accident, or injury from an external force. The injury should not be from an illness or disease, and it must be visible and confirmed by a doctor. Examples include a broken bone from a slip or a cut from a sharp object, but not something like a chronic condition or a disease.","Injury means accidental physical bodily harm excluding illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.""]","[""Injury means Accidental physical bodily harm excluding Illness or disease solely and directly caused by external, violent, visible and evident means which is verified and certified by a Medical Practitioner.""]",1,1,"[""BAJHLIP23020V012223.pdf_25""]","[""BAJHLIP23020V012223.pdf_25""]",,0.9999999999,1.0,0.8319140764529087,0.8571428571428571,0.5,1.0,1.0,0.6713801460542664,0.02125501715821733,0.2882882882882883,0.21621621621621623
Q_010,What is meant by a new born baby under this policy?,"This insurance policy covers a newborn child under the insured’s dependent coverage or family floater plan if the child is added as a family member within the policy’s terms. The policy does not explicitly state the exact eligibility criteria for newborns, but it requires that any family member covered under the plan must be at least 3 months old and no older than 65 years at the start of the policy year. This means the newborn must meet the age requirement of being at least 3 months old to be included as a dependent or under the family floater plan.",New Born Baby means a baby born during the Policy Period and aged up to 90 days.,"[""named in the Policy Schedule means the Insured or Insured\u2019s Family Members who are beneficiaries that We insure as set out in the Schedule."", ""Where an Insured is added to this Policy, either by way of Endorsement or at the time of renewal, the pre-existing disease clause, exclusions and waiting periods will be applicable considering such Policy Year as the first year of"", ""Insured means the persons, or his Family Members, named in the Schedule provided that an Insured or his Family Members has attained the age of 3 months and is not older than 65 years of age at the commencement of""]","[""New Born Baby means baby born during the Policy Period and is aged up to 90 days.""]",3,1,"[""BAJHLIP23020V012223.pdf_108"", ""BAJHLIP23020V012223.pdf_356"", ""BAJHLIP23020V012223.pdf_83""]","[""BAJHLIP23020V012223.pdf_38""]",,0.0,0.0,0.0,0.6,0.0,0.0,0.5,0.6494785442583686,0.015301683686839006,0.11764705882352942,0.10084033613445378
